algorithm,scenario,feature_set,n_train,n_test,n_features,accuracy,balanced_accuracy,f1_macro,mcc,kappa
Dummy majority baseline,baseline,basic,365,92,26,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0
Logistic Regression baseline,baseline,basic,365,92,26,0.32608695652173914,0.393073593073593,0.21377289377289377,0.08687190615436645,0.05796862097440125
Dummy majority baseline,baseline,extended,365,92,38,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0
Logistic Regression baseline,baseline,extended,365,92,38,0.358695652173913,0.4008658008658008,0.2418524170326827,0.06604294989325711,0.045878010195113283
Dummy majority baseline,baseline,advanced,365,92,88,0.8369565217391305,0.2,0.18224852071005918,0.0,0.0
Logistic Regression baseline,baseline,advanced,365,92,88,0.5652173913043478,0.41281385281385286,0.2886674049464747,0.16893010783022952,0.1423910510370544
